main_sound,level,hanja,meaning,radical,strokes,total_strokes
치,4급Ⅱ,齒,"[[['이'], ['치']]]",齒,0,15
침,4급Ⅱ,侵,"[[['침노할'], ['침']]]",人,7,9
쾌,4급Ⅱ,快,"[[['쾌할'], ['쾌']]]",心,4,7
태,4급Ⅱ,態,"[[['모습'], ['태']]]",心,10,14
통,4급Ⅱ,統,"[[['거느릴'], ['통']]]",糸,6,12
퇴,4급Ⅱ,退,"[[['물러날'], ['퇴']]]",辵,6,10
파,4급Ⅱ,波,"[[['물결'], ['파']]]",水,5,8
파,4급Ⅱ,破,"[[['깨뜨릴'], ['파']]]",石,5,10
포,4급Ⅱ,砲,"[[['대포'], ['포']]]",石,5,10
포,4급Ⅱ,包,"[[['쌀[裹]'], ['포']]]",勹,3,5
포,4급Ⅱ,布,"[[['베', '펼'], ['포']], [['보시'], ['보']]]",巾,2,5
폭,4급Ⅱ,暴,"[[['사나울'], ['폭']], [['모질'], ['포']]]",日,11,15
표,4급Ⅱ,票,"[[['표'], ['표']]]",示,6,11
풍,4급Ⅱ,豊,"[[['풍년'], ['풍']]]",豆,6,13
한,4급Ⅱ,限,"[[['한할'], ['한']]]",阜,6,9
항,4급Ⅱ,航,"[[['배'], ['항']]]",舟,4,10
항,4급Ⅱ,港,"[[['항구'], ['항']]]",水,9,12
해,4급Ⅱ,解,"[[['풀'], ['해']]]",角,6,13
향,4급Ⅱ,鄕,"[[['시골'], ['향']]]",邑,10,13
향,4급Ⅱ,香,"[[['향기'], ['향']]]",香,0,9
허,4급Ⅱ,虛,"[[['빌'], ['허']]]",虍,6,12
험,4급Ⅱ,驗,"[[['시험'], ['험']]]",馬,13,23
현,4급Ⅱ,賢,"[[['어질'], ['현']]]",貝,8,15
혈,4급Ⅱ,血,"[[['피'], ['혈']]]",血,0,6
협,4급Ⅱ,協,"[[['화할'], ['협']]]",十,6,8
혜,4급Ⅱ,惠,"[[['은혜'], ['혜']]]",心,8,12
호,4급Ⅱ,好,"[[['좋을'], ['호']]]",女,3,6
호,4급Ⅱ,戶,"[[['집'], ['호']]]",戶,0,4
호,4급Ⅱ,護,"[[['도울'], ['호']]]",言,14,21
호,4급Ⅱ,呼,"[[['부를'], ['호']]]",口,5,8
화,4급Ⅱ,貨,"[[['재물'], ['화']]]",貝,4,11
확,4급Ⅱ,確,"[[['굳을'], ['확']]]",石,10,15
회,4급Ⅱ,回,"[[['돌아올'], ['회']]]",囗,3,6
흡,4급Ⅱ,吸,"[[['마실'], ['흡']]]",口,4,7
흥,4급Ⅱ,興,"[[['일[盛]'], ['흥']]]",臼,9,16
희,4급Ⅱ,希,"[[['바랄'], ['희']]]",巾,4,7
