main_sound,level,hanja,meaning,radical,strokes,total_strokes
노,특급,猱,"[[['원숭이'], ['노']]]",犬,9,12
노,특급,呶,"[[['지껄일'], ['노']]]",口,5,8
노,특급,孥,"[[['자식'], ['노']]]",子,5,8
노,특급,砮,"[[['돌살촉'], ['노']]]",石,5,10
노,특급,怓,"[[['어지러울'], ['노']]]",心,5,8
농,특급,穠,"[[['무성할'], ['농']]]",禾,13,18
뇌,특급,餒,"[[['주릴'], ['뇌']]]",食,7,16
누,특급,耨,"[[['호미'], ['누']]]",耒,10,16
뉴,특급,忸,"[[['익을'], ['뉴']], [['부끄러울'], ['뉵']]]",心,4,7
뉴,특급,鈕,"[[['인꼭지'], ['뉴']]]",金,4,12
뉴,특급,狃,"[[['익숙할'], ['뉴']]]",犬,4,7
니,특급,你,"[[['너'], ['니']]]",人,5,7
니,특급,柅,"[[['굄목'], ['니']]]",木,5,9
니,특급,怩,"[[['부끄러워할'], ['니']]]",心,5,8
닐,특급,昵,"[[['친할'], ['닐']], [['아비사당'], ['녜']]]",日,5,9
다,특급,爹,"[[['아비'], ['다']]]",父,6,10
단,특급,漙,"[[['이슬많을'], ['단']]]",水,11,14
단,특급,慱,"[[['근심할'], ['단']]]",心,11,14
단,특급,襢,"[[['웃통벗을'], ['단']], [['흰베'], ['전']]]",衣,13,18
단,특급,癉,"[[['앓을'], ['단']]]",疒,12,17
단,특급,煅,"[[['쇠불릴'], ['단']]]",火,9,13
달,특급,怛,"[[['슬플'], ['달']]]",心,5,8
달,특급,闥,"[[['궐문'], ['달']]]",門,13,21
담,특급,惔,"[[['속탈'], ['담']]]",心,8,11
담,특급,萏,"[[['연봉오리'], ['담']]]",艸,8,12
담,특급,餤,"[[['먹을'], ['담']]]",食,8,17
담,특급,驔,"[[['정강이흰말'], ['담']]]",馬,12,22
담,특급,髧,"[[['머리늘어질'], ['담']]]",髟,4,14
담,특급,耼,"[[['귓바퀴없을'], ['담']]]",耳,4,10
담,특급,菼,"[[['달'], ['담']]]",艸,8,12
담,특급,窞,"[[['구덩이'], ['담']]]",穴,8,13
담,특급,黮,"[[['검을'], ['담']], [['오디'], ['심']]]",黑,9,21
당,특급,儻,"[[['고상할', '구차할'], ['당']]]",人,20,22
당,특급,鏜,"[[['종고소리'], ['당']]]",金,11,19
당,특급,鐺,"[[['목쇠사슬'], ['당']], [['노구'], ['쟁']]]",金,13,21
당,특급,螗,"[[['씽씽매미'], ['당']]]",虫,10,16
당,특급,倘,"[[['만일'], ['당']], [['노닐'], ['상']]]",人,8,10
대,특급,祋,"[[['창'], ['대']]]",示,4,9
대,특급,譈,"[[['원망할'], ['대']]]",言,12,19
대,특급,懟,"[[['원망할'], ['대']]]",心,14,18
대,특급,憝,"[[['원망할', '악할'], ['대']]]",心,12,16
도,특급,翿,"[[['깃일산'], ['도']]]",羽,14,20
도,특급,咷,"[[['울'], ['도']]]",口,6,9
도,특급,闍,"[[['성문'], ['도']]]",門,9,17
도,특급,稌,"[[['찰벼'], ['도']]]",禾,7,12
도,특급,檮,"[[['등걸'], ['도']], [['산대'], ['주']]]",木,14,18
도,특급,擣,"[[['찧을'], ['도']]]",手,14,17
도,특급,慆,"[[['기뻐할'], ['도']]]",心,10,13
도,특급,鼗,"[[['작은북'], ['도']]]",鼓,6,19
도,특급,叨,"[[['탐할'], ['도']]]",口,2,5
도,특급,綯,"[[['노꼴'], ['도']]]",糸,8,14
도,특급,荼,"[[['씀바귀'], ['도']]]",艸,7,11
도,특급,謟,"[[['의심할'], ['도']]]",言,10,17
도,특급,鞉,"[[['소고'], ['도']]]",革,6,15
도,특급,瘏,"[[['앓을'], ['도']]]",疒,9,14
도,특급,忉,"[[['근심할'], ['도']]]",心,2,5
독,특급,匵,"[[['손궤'], ['독']]]",匚,15,17
독,특급,櫝,"[[['궤'], ['독']]]",木,15,19
독,특급,黷,"[[['더러울'], ['독']]]",黑,15,27
동,특급,僮,"[[['아이종'], ['동']]]",人,12,14
동,특급,侗,"[[['지각없을'], ['동']], [['키멀쑥할'], ['통']]]",人,6,8
동,특급,烔,"[[['뜨거울'], ['동']]]",火,6,10
동,특급,罿,"[[['새그물'], ['동']]]",网,12,17
동,특급,彤,"[[['붉은칠할'], ['동']]]",彡,4,7
동,특급,蝀,"[[['무지개'], ['동']]]",虫,8,14
두,특급,斁,"[[['무너질'], ['두']], [['싫어할'], ['역']]]",攴,13,17
등,특급,螣,"[[['등사'], ['등']]]",虫,10,16
등,특급,滕,"[[['물솟아오를'], ['등']]]",水,10,15
등,특급,縢,"[[['노', '꿰맬'], ['등']]]",糸,10,16
라,특급,臝,"[[['벌거벗을'], ['라']]]",肉,17,21
라,특급,蠃,"[[['나나니벌'], ['라']]]",虫,13,19
락,특급,雒,"[[['올빼미', '표가라'], ['락']]]",隹,6,14
란,특급,闌,"[[['가로막을'], ['란']]]",門,9,17
란,특급,瓓,"[[['옥빛'], ['란']]]",玉,17,21
랄,특급,捋,"[[['뽑을', '문지를'], ['랄']]]",手,7,10
랑,특급,稂,"[[['가라지', '강아지풀'], ['랑']]]",禾,7,12
래,특급,勑,"[[['위로할'], ['래']], [['조서'], ['칙']]]",力,8,10
래,특급,倈,"[[['올', '위로할'], ['래']]]",人,8,10
래,특급,騋,"[[['큰말'], ['래']]]",馬,8,18
려,특급,膂,"[[['등골뼈'], ['려']]]",肉,10,14
려,특급,厲,"[[['엄할', '숫돌'], ['려']]]",厂,13,15
려,특급,蠡,"[[['좀먹을'], ['려']], [['소라'], ['라']]]",虫,15,21
려,특급,藘,"[[['꼭두서니'], ['려']]]",艸,15,19
력,특급,櫟,"[[['떡갈나무'], ['력']]]",木,15,19
력,특급,鬲,"[[['솥'], ['력']], [['가로막을'], ['격']]]",鬲,0,10
력,특급,酈,"[[['땅이름'], ['력']], [['땅이름'], ['리']]]",邑,19,22
련,특급,孌,"[[['아름다울'], ['련']]]",女,19,22
렬,특급,栵,"[[['산밤나무'], ['렬']], [['늘어설'], ['례']]]",木,6,10
렴,특급,蘞,"[[['거지덩굴'], ['렴']]]",艸,17,21
령,특급,蛉,"[[['고추잠자리'], ['령']]]",虫,5,11
령,특급,苓,"[[['복령(茯苓)'], ['령']]]",艸,5,9
령,특급,姈,"[[['여자영리할'], ['령']]]",女,5,8
령,특급,昤,"[[['햇빛'], ['령']]]",日,5,9
례,특급,鱧,"[[['가물치'], ['례']]]",魚,13,24
로,특급,纑,"[[['베올'], ['로']]]",糸,16,22
로,특급,簵,"[[['대이름'], ['로']]]",竹,13,19
로,특급,壚,"[[['검은흙'], ['로']]]",土,16,19
록,특급,彔,"[[['새길'], ['록']]]",彐,5,8
롱,특급,隴,"[[['언덕'], ['롱']]]",阜,16,19
뢰,특급,耒,"[[['따비'], ['뢰']]]",耒,0,6
뢰,특급,罍,"[[['술잔'], ['뢰']]]",缶,15,21
료,특급,敹,"[[['가릴'], ['료']]]",攴,11,15
료,특급,繚,"[[['동일'], ['료']]]",糸,12,18
료,특급,潦,"[[['장마'], ['료']], [['장마'], ['로']]]",水,12,15
루,특급,摟,"[[['안을'], ['루']]]",手,11,14
류,특급,纍,"[[['가둘'], ['류']], [['가둘'], ['루']]]",糸,15,21
류,특급,懰,"[[['근심할', '아름다울'], ['류']]]",心,15,18
류,특급,罶,"[[['통발'], ['류']]]",网,10,15
류,특급,藟,"[[['덩굴풀'], ['류']]]",艸,15,19
류,특급,虆,"[[['덩굴'], ['류']]]",艸,21,25
류,특급,駵,"[[['월따말'], ['류']]]",馬,7,17
륙,특급,僇,"[[['욕할'], ['륙']]]",人,11,13
륙,특급,穋,"[[['올벼'], ['륙']]]",禾,11,16
름,특급,懍,"[[['두려워할'], ['름']]]",心,13,16
름,특급,廩,"[[['쌀곳간'], ['름']]]",广,13,16
리,특급,纚,"[[['맬'], ['리']], [['머리싸개'], ['사']]]",糸,19,25
리,특급,莅,"[[['임할'], ['리']]]",艸,7,11
리,특급,詈,"[[['꾸짖을'], ['리']]]",言,5,12
리,특급,俐,"[[['영리할'], ['리']]]",人,7,9
리,특급,縭,"[[['신꾸밀'], ['리']]]",糸,11,17
리,특급,离,"[[['도깨비', '산신'], ['리']]]",禸,6,11
리,특급,涖,"[[['임할'], ['리']]]",水,7,10
리,특급,梩,"[[['삼태기'], ['리']]]",木,7,11
린,특급,粼,"[[['물맑을'], ['린']]]",米,8,14
린,특급,鄰,"[[['이웃'], ['린']]]",邑,12,15
립,특급,苙,"[[['구릿대', '짐승우리'], ['립']]]",艸,5,9
마,특급,禡,"[[['마제(禡祭)'], ['마']]]",示,10,15
막,특급,藐,"[[['멀'], ['막']], [['작을'], ['묘']]]",艸,14,18
막,특급,瘼,"[[['병들'], ['막']]]",疒,11,16
만,특급,鏋,"[[['금'], ['만']]]",金,11,19
만,특급,墁,"[[['바를'], ['만']]]",土,11,14
말,특급,秣,"[[['말먹이'], ['말']]]",禾,5,10
망,특급,蘉,"[[['힘쓸'], ['망']]]",艸,16,20
매,특급,脢,"[[['등심'], ['매']]]",肉,7,11
매,특급,沬,"[[['희미할'], ['매']], [['낯씻을'], ['회']]]",水,5,8
매,특급,韎,"[[['가죽'], ['매']]]",韋,5,14
매,특급,霾,"[[['흙비'], ['매']]]",雨,14,22
매,특급,鋂,"[[['사슬고리'], ['매']]]",金,7,15
매,특급,痗,"[[['병들'], ['매']]]",疒,7,12
매,특급,浼,"[[['더럽힐'], ['매']], [['펀히흐를'], ['면']]]",水,7,10
매,특급,苺,"[[['딸기'], ['매']]]",艸,5,9
매,특급,勱,"[[['힘쓸'], ['매']]]",力,13,15
맥,특급,貉,"[[['오랑캐'], ['맥']]]",豸,6,13
맥,특급,霢,"[[['가랑비'], ['맥']]]",雨,10,18
면,특급,湎,"[[['빠질'], ['면']]]",水,9,12
멸,특급,篾,"[[['대껍질'], ['멸']]]",竹,11,17
멸,특급,幭,"[[['덮개'], ['멸']]]",巾,15,18
모,특급,麰,"[[['보리'], ['모']]]",麥,6,17
모,특급,眊,"[[['눈흐릴', '늙을'], ['모']]]",目,4,9
모,특급,旄,"[[['털기(旗)'], ['모']]]",方,6,10
모,특급,耄,"[[['늙을'], ['모']]]",老,4,10
모,특급,髦,"[[['다박머리'], ['모']]]",髟,4,14
모,특급,蟊,"[[['해충'], ['모']]]",虫,11,17
목,특급,霂,"[[['가랑비'], ['목']]]",雨,7,15
목,특급,楘,"[[['수레장식'], ['목']]]",木,9,13
몽,특급,饛,"[[['밥수북히담을'], ['몽']]]",食,14,23
몽,특급,幪,"[[['덮을'], ['몽']]]",巾,14,17
몽,특급,濛,"[[['이슬비'], ['몽']]]",水,14,17
몽,특급,矇,"[[['소경'], ['몽']]]",目,14,19
묘,특급,眇,"[[['애꾸'], ['묘']]]",目,4,9
묘,특급,貓,"[[['고양이'], ['묘']]]",豸,9,16
묘,특급,茆,"[[['띠'], ['묘']], [['갯버들'], ['류']]]",艸,5,9
무,특급,儛,"[[['춤출'], ['무']]]",人,14,16
