main_sound,level,hanja,meaning,radical,strokes,total_strokes
구,특급Ⅱ,廐,"[[['마구간[廏]'], ['구']]]",广,11,14
구,특급Ⅱ,勾,"[[['굽을'], ['구']]]",勹,2,4
구,특급Ⅱ,坵,"[[['언덕[丘]'], ['구']]]",土,5,8
구,특급Ⅱ,瞿,"[[['놀랄'], ['구']]]",目,13,18
구,특급Ⅱ,逑,"[[['짝'], ['구']]]",辵,7,11
구,특급Ⅱ,銶,"[[['끌'], ['구']]]",金,7,15
구,특급Ⅱ,耈,"[[['늙은이'], ['구']]]",老,5,11
구,특급Ⅱ,咎,"[[['허물'], ['구']]]",口,5,8
구,특급Ⅱ,柾,"[[['널[柩]'], ['구']]]",木,5,9
구,특급Ⅱ,毬,"[[['제기', '공'], ['구']]]",毛,7,11
국,특급Ⅱ,鞫,"[[['국문할'], ['국']]]",革,9,18
국,특급Ⅱ,麴,"[[['누룩'], ['국']]]",麥,8,19
군,특급Ⅱ,裙,"[[['치마'], ['군']]]",衣,7,12
굴,특급Ⅱ,堀,"[[['팔'], ['굴']]]",土,8,11
궁,특급Ⅱ,芎,"[[['궁궁이'], ['궁']]]",艸,3,7
권,특급Ⅱ,淃,"[[['돌아흐를'], ['권']]]",水,8,11
궐,특급Ⅱ,蕨,"[[['고사리'], ['궐']]]",艸,12,16
궐,특급Ⅱ,獗,"[[['날뛸'], ['궐']]]",犬,12,15
궤,특급Ⅱ,饋,"[[['먹일'], ['궤']]]",食,12,21
귀,특급Ⅱ,晷,"[[['해그림자'], ['귀']]]",日,8,12
규,특급Ⅱ,赳,"[[['헌걸찰'], ['규']]]",走,2,9
규,특급Ⅱ,竅,"[[['구멍'], ['규']]]",穴,13,18
규,특급Ⅱ,槻,"[[['물푸레나무'], ['규']]]",木,11,15
균,특급Ⅱ,鈞,"[[['무거울'], ['균']]]",金,4,12
균,특급Ⅱ,勻,"[[['고를'], ['균']]]",勹,2,4
균,특급Ⅱ,畇,"[[['밭일굴'], ['균']]]",田,4,9
균,특급Ⅱ,筠,"[[['대껍질'], ['균']]]",竹,7,13
근,특급Ⅱ,劤,"[[['힘셀'], ['근']]]",力,4,6
근,특급Ⅱ,芹,"[[['미나리'], ['근']]]",艸,4,8
근,특급Ⅱ,菫,"[[['씀바귀'], ['근']]]",艸,8,12
근,특급Ⅱ,懃,"[[['은근할'], ['근']]]",心,13,17
금,특급Ⅱ,昑,"[[['밝을'], ['금']]]",日,4,8
